,name,review_count,rating,price,cat1,zip_code,nyc,borough,cluster,is_affluent
13688,Giovanni's Restaurant & Pizzeria,49,4.0,2,pizza,10461,True,Bronx,34,0
13691,Sushi Q Japanese Restaurant,85,3.5,2,sushi,10461,True,Bronx,34,0
13692,Johnny's Reef Restaurant,485,4.0,2,seafood,10464,True,Bronx,69,0
13693,Nick's Pizza Restaurant,60,4.0,1,pizza,10469,True,Bronx,65,0
13694,Tana Thai,170,3.0,2,thai,10461,True,Bronx,34,0
13695,Sugi sushi,84,4.0,2,sushi,10465,True,Bronx,14,0
13698,Golden Glow Cookie Company,31,4.5,1,bakeries,10469,True,Bronx,65,0
13704,Pastosa Ravioli,22,4.5,3,pastashops,10465,True,Bronx,14,0
13705,La Cocina Boricua,185,3.5,2,latin,10462,True,Bronx,58,0
13706,Dyre Fish Market,42,4.0,2,seafood,10466,True,Bronx,6,0
13710,Bagels and Cream,50,4.0,1,bagels,10461,True,Bronx,34,0
13711,Ez Grill NYC,131,4.0,1,mediterranean,10462,True,Bronx,58,0
13713,Jimmy's Grand Cafe,286,3.5,2,diners,10472,True,Bronx,58,0
13714,Casa Asia,219,4.0,2,asianfusion,11357,True,Queens,55,1
13715,Royal Coach Diner,193,3.5,2,diners,10469,True,Bronx,65,0
13717,Cozy Cottage Restaurant,76,3.5,1,breakfast_brunch,10466,True,Bronx,6,0
13718,Dukagjini Burek,70,4.5,1,bakeries,10462,True,Bronx,58,0
13719,Venezia Pizzeria,42,4.5,1,pizza,10469,True,Bronx,65,0
13725,Central Caribbean Bakery,19,5.0,1,bakeries,10469,True,Bronx,65,0
13726,Novelty Eats,57,3.5,2,comfortfood,10461,True,Bronx,34,0
13728,Shamrock Inn,26,4.5,2,newamerican,10461,True,Bronx,34,0
13729,Mike and Maggie's Pizzeria,75,4.5,1,pizza,11357,True,Queens,55,1
13730,Mama Puebla,78,3.5,2,mexican,10465,True,Bronx,14,0
13734,Crosstown Diner,279,3.0,2,diners,10465,True,Bronx,14,0
13735,Icehouse Cafe   Waterfront Restaurant,111,3.5,2,italian,10465,True,Bronx,14,0
13737,Caffe Rustico,48,4.5,2,italian,11357,True,Queens,55,1
13740,Ajo & Oregano,339,3.5,2,dominican,10462,True,Bronx,58,0
13743,Captain's Pizzeria,111,3.5,2,pizza,10461,True,Bronx,34,0
13744,Three Boys From Italy,67,4.5,1,pizza,10467,True,Bronx,38,0
13752,Bagel Time,53,4.5,1,bagels,11357,True,Queens,55,1
13754,Morris Park Bake Shop,45,4.0,2,bakeries,10462,True,Bronx,58,0
13756,Fine Food Cuisine,65,4.5,2,newamerican,10462,True,Bronx,58,0
13757,Pearl Garden,93,4.0,1,chinese,11357,True,Queens,55,1
13763,H.I.M Ital Health Food Market,39,4.5,1,healthmarkets,10466,True,Bronx,6,0
13765,IHOP,68,3.5,2,breakfast_brunch,10475,True,Bronx,65,0
13770,Feroza's Restaurant Roti,102,4.0,1,trinidadian,10467,True,Bronx,38,0
13772,Brisas Del Caribe,171,3.5,1,dominican,10462,True,Bronx,58,0
13774,CP Grill,57,4.5,2,mediterranean,11356,True,Queens,55,1
13777,Lash West Indian And American Cuisine,142,3.5,1,indpak,10467,True,Bronx,38,0
13778,Joe's Pizza,33,4.0,1,pizza,10461,True,Bronx,34,0
13781,Best Chinese Restaurant,23,4.5,1,chinese,10475,True,Bronx,65,0
13782,Jerry's Pizza,18,4.5,1,pizza,10469,True,Bronx,65,0
13783,Cristina's Deli,199,3.5,1,delis,11357,True,Queens,55,1
13784,VAYA,42,3.5,2,salad,10461,True,Bronx,34,0
13785,Lollipops Gelato,27,4.5,1,icecream,10466,True,Bronx,6,0
13786,Panera Bread,137,2.5,2,sandwiches,10475,True,Bronx,65,0
13787,Cestra's Pizza,39,4.0,1,pizza,10465,True,Bronx,14,0
13791,Health Kitchen,76,4.5,2,salad,11357,True,Queens,55,1
13792,There Should Always Be Cake,56,4.0,2,cupcakes,10461,True,Bronx,34,0
13793,Jackie's West Indian Bakery,32,4.0,1,bakeries,10466,True,Bronx,6,0
13796,Brewski's,88,3.5,2,bars,10465,True,Bronx,14,0
13797,Fella's,13,4.0,1,bars,10464,True,Bronx,69,0
13799,Mamajuana Cafe The Bronx,327,2.5,2,latin,10461,True,Bronx,34,0
13800,Olive Garden Italian Restaurant,180,2.5,2,italian,10475,True,Bronx,65,0
13802,Red Lobster,174,2.5,2,seafood,10475,True,Bronx,65,0
13803,Quality Grill and Gyro,34,4.0,2,breakfast_brunch,10461,True,Bronx,34,0
13804,G & R Deli,37,4.0,1,delis,10461,True,Bronx,34,0
13808,Taco Azul,103,4.0,2,tacos,11357,True,Queens,55,1
13810,Yankee J-Z Pizza,57,4.5,1,pizza,10472,True,Bronx,58,0
13813,Ann Clair's Salumeria,49,4.0,1,delis,10461,True,Bronx,34,0
13814,Peachwave,48,4.0,1,icecream,10461,True,Bronx,34,0
13815,Outback Steakhouse,141,2.5,2,steak,10475,True,Bronx,65,0
13816,Next Stop Vegan,32,5.0,2,vegan,10460,True,Bronx,58,0
13818,Top Tortillas,36,3.5,1,mexican,10461,True,Bronx,34,0
13819,Cestra's Pizza,35,4.0,1,pizza,10461,True,Bronx,34,0
13820,Bases Loaded,13,4.5,1,sportsbars,10461,True,Bronx,34,0
13821,Ultimate Grill,60,3.5,2,caribbean,10469,True,Bronx,65,0
13822,Tremont Diner,67,3.5,2,diners,10461,True,Bronx,34,0
13824,Burger Time,117,3.5,2,salad,10461,True,Bronx,34,0
13825,Cascon Cheesecakes,69,4.0,2,bakeries,11357,True,Queens,55,1
13826,The Bronx Pizzeria,45,4.0,1,pizza,10465,True,Bronx,14,0
13828,Six Happiness Restaurant,22,4.0,2,newamerican,10461,True,Bronx,34,0
13835,Dominicks Pizzeria,28,4.5,1,pizza,10469,True,Bronx,65,0
13836,Pasta-Pasta,63,4.0,2,italian,10461,True,Bronx,34,0
13840,Freddy's Pizzeria,82,4.0,1,pizza,11357,True,Queens,55,1
13842,The Dumplin Cove,58,3.5,2,cafes,10469,True,Bronx,65,0
13843,Kiraku Sushi,77,3.5,2,sushi,10461,True,Bronx,34,0
13848,Ali's Roti Shop,82,4.0,1,trinidadian,10466,True,Bronx,6,0
13849,Tandoori Place,27,4.5,2,asianfusion,10462,True,Bronx,58,0
